0xcc,_BGTEXTCL,int,d1,int,text_page,d2,int,pattern_code,,,,,,,,,,,,,バックグラウンドテキストのクリア
0xcd,_BGTEXTST,int,d1,int,text_page,d2,int,x,d3,int,y,d4,int,pattern,,,,,,,バックグラウンドテキストの設定
0xce,_BGTEXTGT,int,d1,int,text_page,d2,int,x,d3,int,y,,,,,,,,,,バックグラウンドテキストの読み出し
0xcf,_SPALET,int,d1,int,vblank_pal,d2,int,block,d3,int,color,,,,,,,,,,スプライトパレットの設定
#0xd0,_MACS_CALL,,,,,,,,,,,,,,,,,,,,(ユーザ拡張) MACS 制御
#0xd1,_MOON,,,,,,,,,,,,,,,,,,,,(ユーザ拡張) MOON 制御
0xd3,_TXXLINE,void,a1,const struct iocs_xlineptr *,p,,,,,,,,,,,,,,,,テキスト画面の水平ライン
0xd4,_TXYLINE,void,a1,const struct iocs_ylineptr *,p,,,,,,,,,,,,,,,,テキスト画面の垂直ライン
0xd5,_TXLINE,void,a1,const struct iocs_tlineptr *,p,,,,,,,,,,,,,,,,テキスト画面のライン
0xd6,_TXBOX,void,a1,const struct iocs_tboxptr *,p,,,,,,,,,,,,,,,,テキスト画面のボックス
0xd7,_TXFILL,void,a1,const struct iocs_txfillptr *,p,,,,,,,,,,,,,,,,テキスト画面のボックスフィル
0xd8,_TXREV,void,a1,const struct iocs_trevptr *,p,,,,,,,,,,,,,,,,テキスト画面の反転
0xdf,_TXRASCPY,void,d1,int,src_dst_packed,d2,int,count,d3,int,dir_planes,,,,,,,,,,テキスト画面のラスターコピー
0xf0,_OPMDRV,,,,,,,,,,,,,,,,,,,,OPMDRV 制御
0xf1,_RSDRV,,,,,,,,,,,,,,,,,,,,拡張 RS-232C 制御
0xf2,_A_JOY,int,d1,int,func,d2,int,param,a1,void *,buf,,,,,,,,,,アナログジョイスティック制御
#0xf3,_MUSICDRV,,,,,,,,,,,,,,,,,,,,MUSICDRV 制御
#0xf4,,,,,,,,,,,,,,,,,,,,,(ユーザ拡張) Mercury Driver 制御
0xf5,_SCSIDRV,,,,,,,,,,,,,,,,,,,,SCSI IOCS
#0xf8,,,,,,,,,,,,,,,,,,,,,(ユーザ拡張) TS-6BE16 ハイメモリ制御
#0xf9,,,,,,,,,,,,,,,,,,,,,(ユーザ拡張) TS-6BGA グラフィック制御
0xfd,_ABORTRST,void,,,,,,,,,,,,,,,,,,,アボートする為に環境を再設定する
0xfe,_IPLERR,!void,,,,,,,,,,,,,,,,,,,再起動する
0xff,_ABORTJOB,!void,,,,,,,,,,,,,,,,,,,アボート
,,,,,,,,,,,,,,,,,,,,,
0xf5,%_S_RESET,void,d1,0x00,,,,,,,,,,,,,,,,,SPC のリセット及び SCSI バスのリセット
0xf5,%_S_SELECT,int,d1,0x01,,d4,int,target,,,,,,,,,,,,,アービトレーションフェーズとセレクションフェーズの実行
0xf5,%_S_SELECTA,int,d1,0x02,,d4,int,target,,,,,,,,,,,,,アービトレーションフェーズとセレクションフェーズの実行
0xf5,%_S_CMDOUT,int,d1,0x03,,d3,int,command_size,a1,const void *,cdb,,,,,,,,,,コマンドアウトフェーズの実行
0xf5,%_S_DATAIN,int,d1,0x04,,d3,int,read_size,a1,void *,buf,,,,,,,,,,データインフェーズの実行
0xf5,%_S_DATAOUT,int,d1,0x05,,d3,int,write_size,a1,const void *,data,,,,,,,,,,データアウトフェーズの実行
0xf5,%_S_STSIN,int,d1,0x06,,a1,void *,buf,,,,,,,,,,,,,ステータスインフェーズの実行
0xf5,%_S_MSGIN,int,d1,0x07,,a1,void *,buf,,,,,,,,,,,,,メッセージインフェーズの実行
0xf5,%_S_MSGOUT,int,d1,0x08,,a1,const void *,data,,,,,,,,,,,,,メッセージアウトフェーズの実行
0xf5,%_S_PHASE,int,d1,0x09,,,,,,,,,,,,,,,,,フェーズセンス
0xf5,%_S_LEVEL,int,d1,0x0a,,,,,,,,,,,,,,,,,SCSI IOCS のバージョンを調べる
0xf5,%_S_DATAINI,int,d1,0x0b,,d3,int,read_size,a1,void *,buf,,,,,,,,,,データインフェーズの実行
0xf5,%_S_DATAOUTI,int,d1,0x0c,,d3,int,write_size,a1,const void *,data,,,,,,,,,,データアウトフェーズの実行
0xf5,%_S_MSGOUTEXT,int,d1,0x0d,,a1,const void *,data,,,,,,,,,,,,,メッセージアウトフェーズの実行(拡張メッセージ)
0xf5,%_S_INQUIRY,int,d1,0x20,,d3,int,read_size,d4,int,target,a1,struct iocs_inquiry *,buf,,,,,,,INQUIRY データの要求
0xf5,%_S_READ,int,d1,0x21,,d2,int,lba,d3,int,block_count,d4,int,target,d5,int,block_size_code,a1,void *,buf,SCSI 装置よりデータの読み込み
0xf5,%_S_WRITE,int,d1,0x22,,d2,int,lba,d3,int,block_count,d4,int,target,d5,int,block_size_code,a1,const void *,data,SCSI 装置へのデータの書き込み
0xf5,%_S_FORMAT,int,d1,0x23,,d3,int,interleave,d4,int,target,,,,,,,,,,SCSI 装置のフォーマット
